time_us,engine_rpm,wheel_rpm,secondary_rpm,sheave_position,sheave_setpoint,pwm,brake_position
73027731, 1656.138184, 2400.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
73238834, 1645.026123, 2775.000000, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
73460757, 1677.252930, 2985.216064, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
73671851, 1675.841064, 3358.208984, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
73893901, 1676.425415, 2143.275635, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
74104786, 1751.700928, 2164.168213, 0.000000, -89.000000, -90.000000, -8.000000, 0.000000
74317565, 2092.416992, 2428.120361, 0.000000, -89.000000, -26.391872, 522.162659, 0.000000
74538784, 2509.957520, 1268.644043, 0.000000, -84.000000, -7.712425, 653.158813, 0.000000
74750863, 2852.350342, 4875.000000, 0.000000, -56.000000, 7.605148, 571.036133, 0.000000
74971911, 3112.799805, 4850.842773, 0.000000, -7.000000, 19.256832, 276.889343, 0.000000
75182812, 3273.729736, 7144.081543, 0.000000, 53.000000, 31.155638, -115.718300, 0.000000
75404816, 3090.392578, 8573.183594, 178.571426, 57.000000, 39.026928, -54.588654, 0.000000
75616920, 2805.684570, 5447.869629, 357.142853, 34.000000, 36.638332, 100.666420, 0.000000
75838771, 2751.060547, 3918.569580, 363.662811, 28.000000, 27.093899, 64.909988, 0.000000
76052786, 2942.887451, 8962.608398, 545.494202, 37.000000, 20.775993, -58.259766, 0.000000
76264819, 3199.742188, 6825.000000, 535.752563, 27.000000, 23.652321, 49.400093, 0.000000
76485813, 3654.099609, 1194.006104, 545.454529, 21.000000, 44.531452, 269.785004, 0.000000
76707773, 4146.979980, 2786.351318, 720.941589, 38.000000, 81.503456, 443.546448, 0.000000
76919921, 4381.997070, 6237.623535, 909.024780, 75.000000, 133.539261, 573.854248, 0.000000
77141418, 4354.412109, 4142.068359, 1080.866821, 126.000000, 189.009644, 605.354858, 0.000000
77363902, 4212.418945, 1421.962646, 1071.428589, 188.000000, 241.075470, 517.266907, 0.000000
77585881, 3897.302490, 1564.099609, 1250.089233, 254.000000, 284.128082, 325.824768, 0.000000
77816453, 3346.858154, 5238.207031, 1272.819824, 321.000000, 300.000000, -101.599998, 0.000000
78038781, 2708.061279, 2071.783691, 1250.067017, 321.000000, 296.883331, -100.518074, 0.000000
78260858, 2225.606445, 3880.461914, 1428.596924, 288.000000, 273.894196, -30.023375, 0.000000
78482818, 2182.186035, 1208.347534, 1441.545288, 254.000000, 240.445557, -39.983803, 0.000000
78704794, 2544.942871, 1493.174072, 1454.413208, 241.000000, 214.461304, -149.395203, 0.000000
78936782, 2928.651611, 2511.973877, 1481.481445, 219.000000, 204.419754, -46.912113, 0.000000
79157814, 3283.855713, 1500.228638, 1454.545410, 184.000000, 209.306793, 280.108917, 0.000000
79379727, 3710.881592, 781.871948, 1636.363647, 170.000000, 229.398804, 572.219727, 0.000000
79602810, 4168.846191, 3600.000000, 1636.482666, 159.000000, 267.511444, 996.422119, 0.000000
79824909, 4530.990234, 1424.950073, 1607.257690, 150.000000, 300.000000, 1304.000000, 0.000000
80046957, 4801.152344, 4053.035645, 1607.142822, 142.000000, 300.000000, 1368.000000, 0.000000
80268911, 5033.483887, 2400.000000, 1622.060059, 137.000000, 300.000000, 1406.000000, 0.000000
80491399, 5177.869141, 674.972961, 1818.049561, 131.000000, 300.000000, 1454.000000, 0.000000
80713845, 5256.645020, 710.792664, 1621.037354, 125.000000, 300.000000, 1502.000000, 0.000000
80935805, 5291.768066, 1865.671631, 1785.714233, 120.000000, 300.000000, 1542.000000, 0.000000
81157839, 5291.977539, 2174.923828, 1785.714233, 137.000000, 300.000000, 1390.000000, 0.000000
81379756, 5254.103516, 5617.365234, 1818.181885, 177.000000, 300.000000, 1062.000000, 0.000000
81602761, 5085.993652, 2133.024902, 1818.314087, 231.000000, 300.000000, 624.000000, 0.000000
81824935, 4686.641602, 2324.906982, 1785.841797, 296.000000, 300.000000, 98.000000, 0.000000
82056804, 4037.703369, 1642.943237, 1818.314087, 328.000000, 300.000000, -125.120003, 0.000000
82279707, 3397.153320, 671.658508, 2000.000000, 301.000000, 300.000000, 92.800003, 0.000000
82502794, 3125.875244, 3134.328369, 2037.187866, 287.000000, 300.000000, 197.880005, 0.000000
82726517, 3276.511475, 3200.420654, 2153.978760, 278.000000, 300.000000, 274.980011, 0.000000
82947938, 3545.023682, 4638.311523, 2181.857910, 268.000000, 300.000000, 362.000000, 0.000000
83168906, 3772.208984, 4665.071777, 1999.854492, 260.000000, 300.000000, 424.000000, 0.000000
83391493, 3932.340820, 3857.877686, 1979.129150, 252.000000, -35.000000, 480.000000, 0.557191
83613849, 3713.826660, 4199.958008, 1607.142822, 236.000000, -35.000000, 480.000000, 0.566555
83835882, 3214.173096, 1268.656738, 1428.571411, 196.000000, -35.000000, 480.000000, 0.553177
84057828, 2735.955322, 2786.045898, 909.090942, 138.000000, -35.000000, 480.000000, 0.513712
84279755, 2508.021484, 781.897888, 727.338867, 67.000000, -35.000000, 480.000000, 0.439465
84502783, 2372.508789, 2174.804199, 535.742981, -13.000000, -13.861450, 121.050385, 0.297659
84724936, 2296.517090, 299.994019, 535.704712, -53.000000, -17.261078, 388.193634, 0.239465
84938791, 2231.195557, 1256.182373, 363.609924, -36.000000, -20.183357, 212.368652, 0.262207
85160812, 2183.271973, 1950.000000, 359.945282, 4.000000, -22.327307, -139.517441, 0.176589
85382874, 2157.645508, 284.415466, 357.142853, 8.000000, -23.473755, -159.902191, 0.043478
85594914, 2240.706055, 568.642273, 526.315796, -18.000000, -19.757887, 82.422836, 0.000000
85816452, 2427.333008, 1492.507568, 363.642975, -28.000000, -11.408787, 214.728806, 0.000000
86038852, 2670.367188, 2000.380981, 545.494202, -6.000000, -0.536205, 121.022095, 0.000000
86249910, 2930.671875, 4029.930908, 714.336731, 32.000000, 11.109005, -93.919655, 0.000000
86471908, 3136.756348, 1499.969971, 714.285706, 26.000000, 20.328571, 46.273872, 0.000000
86683761, 3296.045410, 2174.956543, 885.081055, 24.000000, 29.896240, 127.882881, 0.000000
86904725, 3356.208984, 4030.010986, 727.233093, 41.000000, 42.859165, 89.218430, 0.000000
87116964, 3356.528076, 674.962891, 727.219849, 72.000000, 57.072224, -53.651379, 0.000000
87328787, 3336.347900, 3981.872803, 727.272705, 66.000000, 70.989738, 124.734291, 0.000000
87552754, 3302.748535, 6831.953613, 727.272705, 59.000000, 83.477432, 286.308868, 0.000000
87764845, 3313.576660, 2324.906982, 727.325623, 68.000000, 95.903633, 313.194397, 0.000000
87985848, 3345.213867, 1567.226562, 909.140503, 102.000000, 109.303299, 144.364395, 0.000000
88207828, 3304.263672, 2350.750977, 892.857117, 147.000000, 122.755013, -108.997711, 0.000000
88429789, 3174.441650, 3405.269531, 1081.236938, 133.000000, 132.164230, 94.781227, 0.000000
88652745, 3059.933350, 150.000000, 909.024780, 126.000000, 136.381989, 178.568634, 0.000000
88874894, 3025.687500, 4763.213867, 900.689941, 119.000000, 137.748917, 252.618439, 0.000000
89086859, 3045.954346, 2550.000000, 877.192993, 111.000000, 139.351944, 331.839081, 0.000000
89308835, 3094.428467, 2686.567139, 885.081055, 103.000000, 142.203735, 419.583130, 0.000000
89529771, 3174.076904, 2850.000000, 727.233093, 94.000000, 147.759811, 537.608887, 0.000000
89752809, 3326.625732, 1428.244995, 900.592590, 84.000000, 157.760376, 702.367188, 0.000000
89974952, 3559.989258, 4701.679688, 892.857117, 74.000000, 175.036880, 922.782654, 0.000000
90186876, 3927.473389, 4649.813965, 1052.631592, 66.000000, 205.147232, 1235.022339, 0.000000
90407880, 4324.021484, 3142.378174, 1090.909058, 58.000000, 250.746368, 1671.772705, 0.000000
90629761, 4632.480469, 2700.000000, 1090.988403, 50.000000, 300.000000, 2115.078613, 0.000000
90852787, 4882.030762, 2324.906982, 1071.505127, 44.000000, 300.000000, 2152.000000, 0.000000
91074911, 5090.340820, 1279.911987, 1250.000000, 44.000000, 300.000000, 2144.000000, 0.000000
91296879, 5211.754395, 4650.000000, 1261.602295, 72.000000, 300.000000, 1906.000000, 0.000000
91518917, 5205.625977, 1349.945923, 1272.634644, 118.000000, 300.000000, 1530.000000, 0.000000
91741407, 5047.995605, 5899.579102, 1440.948120, 176.000000, 300.000000, 1062.000000, 0.000000
91963847, 4701.138672, 1425.000000, 1428.571411, 242.000000, 300.000000, 530.000000, 0.000000
92185776, 4100.776367, 4999.800781, 1607.142822, 308.000000, 300.000000, 3.700000, 0.000000
92407836, 3389.532715, 4906.236328, 1636.363647, 328.000000, 300.000000, -127.779999, 0.000000
92638755, 2838.208740, 2812.554199, 1636.482666, 297.000000, 298.653778, 111.711449, 0.000000
92860827, 2689.461914, 2025.000000, 1785.714233, 282.000000, 287.365906, 125.676018, 0.000000
93082863, 2922.779053, 3299.983398, 1802.126587, 271.000000, 279.229523, 157.490646, 0.000000
93304754, 3221.624023, 7199.747559, 1999.854492, 262.000000, 282.021362, 261.173279, 0.000000
93527756, 3452.796143, 6823.609375, 1981.196655, 254.000000, 295.725677, 446.383240, 0.000000
93749880, 3667.653320, 5475.000000, 1964.285645, 247.000000, 300.000000, 528.000000, 0.000000
93971931, 3856.631348, 4949.826660, 1964.285645, 240.000000, 300.000000, 584.000000, 0.000000
94193909, 4021.183838, 1137.694214, 2000.000000, 234.000000, 300.000000, 630.000000, 0.000000
94416270, 4157.406250, 2250.000000, 2000.123169, 227.000000, 300.000000, 688.000000, 0.000000
94638824, 4306.184570, 899.995483, 1964.285645, 220.000000, 300.000000, 744.000000, 0.000000
94860834, 4494.267090, 2462.698730, 2153.978760, 213.000000, 300.000000, 798.000000, 0.000000
95091489, 4688.293945, 7247.882324, 2161.383301, 207.000000, 300.000000, 848.000000, 0.000000
95313842, 4834.761230, 2400.000000, 2142.857178, 199.000000, 300.000000, 912.000000, 0.000000
95535859, 5017.353027, 5024.798828, 2142.857178, 190.000000, 300.000000, 984.000000, 0.000000
95757820, 5154.476562, 1843.622925, 2181.818115, 181.000000, 300.000000, 1056.000000, 0.000000
95979805, 5227.311035, 5178.284668, 2181.976807, 173.000000, 300.000000, 1120.000000, 0.000000
96202811, 5295.934570, 4650.000000, 2143.010254, 167.000000, 300.000000, 1166.000000, 0.000000
96424974, 5344.598145, 2701.421875, 2142.857178, 185.000000, 300.000000, 1006.000000, 0.000000
96656695, 5254.354492, 2487.679932, 1984.699707, 225.000000, 300.000000, 676.000000, 0.318395
96877835, 4735.395508, 1142.851685, 2000.145508, 285.000000, -35.000000, 338.000000, 0.513044
97099942, 3755.429443, 9929.469727, 1607.171509, 285.000000, -35.000000, 338.000000, 0.521739
97321896, 2809.524170, 4274.914551, 1443.391968, 248.000000, -35.000000, 338.000000, 0.519732
97553800, 2392.207275, 789.590820, 1111.028809, 190.000000, -35.000000, -2245.701904, 0.515050
97777842, 2245.300293, 3805.969971, 714.336731, 120.000000, -35.000000, -2245.701904, 0.490970
97991321, 2210.995361, 738.919922, 541.223206, 44.000000, -21.087049, -637.452454, 0.409365
98213802, 2189.090332, 1199.988037, 363.609924, -38.000000, -22.067013, 248.258820, 0.408027
98435849, 2160.166992, 1499.992432, 359.848145, -65.000000, -23.360950, 424.201752, 0.409365
98657797, 2185.877686, 1349.952759, 357.142853, -44.000000, -22.210735, 257.965515, 0.406020
98879813, 2189.637695, 2132.287109, 357.142853, -1.000000, -22.042524, -94.745087, 0.331104
99102830, 2162.337891, 1564.344360, 363.636353, 13.000000, -23.263832, -202.622482, 0.331104
99314809, 2135.217773, 1417.910400, 363.662811, -12.000000, -24.477100, -11.716290, 0.272910
99535816, 2131.723877, 820.895508, 363.662811, -33.000000, -24.633406, 141.983475, 0.224080
99757883, 2136.250488, 3427.918457, 357.142853, -15.000000, -24.430901, -12.477667, 0.185284
99979814, 2166.533936, 1275.000000, 360.815460, -5.000000, -23.076115, -74.332764, 0.103679
100192881, 2164.933838, 924.310791, 447.734436, -20.000000, -23.147697, 50.576145, 0.041472
100416454, 2150.051758, 1574.937012, 363.662811, -24.000000, -23.813475, 62.640953, 0.000000
100638797, 2132.128418, 70.912933, 357.168365, -10.000000, -24.615307, -63.819572, 0.000000
100852781, 2094.916748, 5851.707031, 357.168365, -15.000000, -26.280041, -30.128912, 0.000000
101074910, 2155.613037, 1499.939941, 357.142853, -28.000000, -23.564680, 96.395187, 0.000000
101296900, 2297.793457, 2773.142822, 360.386322, -20.000000, -17.203976, 76.895409, 0.000000
